"name","orgurl","bzurl","cat","logo"
"1cpp.ru","https://www.1cpp.ru/index.php/Main","http://cvs.alterplast.ru/bugs/","Free Software Projects",""
"AbiWord","https://www.abisource.com/","https://bugzilla.abisource.com/","Free Software Projects",""
"Alt Linux","https://www.altlinux.org/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0","https://bugzilla.altlinux.org/","Linux Distributions",""
"Apache Project","https://www.apache.org/","https://bz.apache.org/bugzilla/","Free Software Projects","apache.svg"
"AspectC++","https://www.aspectc.org/","https://www.aspectc.org/bugzilla/","Free Software Projects",""
"Cendio","https://www.cendio.com/","https://bugzilla.cendio.com/","",""
"ClamAV","https://www.clamav.net/","https://bugzilla.clamav.net/","Free Software Projects",""
"Claws Mail","https://claws-mail.org/","https://www.thewildbeast.co.uk/claws-mail/bugzilla/","Free Software Projects",""
"ContentLion","http://www.contentlion.de/","http://bugzilla.contentlion.org/","Free Software Projects",""
"CVS on NT","https://www.march-hare.com/cvspro/","https://customer.march-hare.com/webtools/bugzilla/","",""
"distributed.net","https://www.distributed.net/Main_Page","https://bugs.distributed.net/","",""
"DPDK","https://www.dpdk.org/","https://bugs.dpdk.org/","Free Software Projects",""
"D Programming Language","https://dlang.org/","https://issues.dlang.org/","Free Software Projects",""
"Eclipse","https://www.eclipse.org/","https://bugs.eclipse.org/bugs/","Free Software Projects","eclipse.svg"
"ESSPL","https://www.esspl.com/","https://bugzilla.esspl.com/","",""
"ETC s.r.o.","https://www.etc.sk/","https://bugzilla.etc.sk/","",""
"Etersoft","https://etersoft.ru/","https://bugs.etersoft.ru/","",""
"Exim","https://www.exim.org/","https://bugs.exim.org/","Free Software Projects",""
"FreeBSD","https://www.freebsd.org/","https://bugs.freebsd.org/bugzilla/","",""
"GCC","https://gcc.gnu.org/","https://gcc.gnu.org/bugzilla/","Free Software Projects",""
"Geant4 project","https://geant4.org/","https://bugzilla-geant4.kek.jp/","",""
"Gentoo","https://www.gentoo.org/","https://bugs.gentoo.org/","Linux Distributions","gentoo.svg"
"HPCalc","https://www.hpcalc.org","http://bugs.hpcalc.org","",""
"HylaFAX","https://www.hylafax.org/","http://bugs.hylafax.org/","Free Software Projects",""
"Icculus","https://www.icculus.org/","https://bugzilla.icculus.org/","Free Software Projects",""
"imCode","https://www.imcode.com/","http://bugzilla.imcode.com/bugzilla/","",""
"IPFire","https://www.ipfire.org/","https://bugzilla.ipfire.org/","Free Software Projects",""
"iPLATINUM Pty Ltd","https://www.iplatinum.com.au/","https://support.iplatinum.com.au/bugzilla/index.cgi","",""
"KDE","https://kde.org/","https://bugs.kde.org/","Free Software Projects","kde.svg"
"Koha Library Software","https://koha-community.org","https://bugs.koha-community.org/bugzilla3/","Free Software Projects",""
"LibreOffice","https://www.libreoffice.org/","https://bugs.documentfoundation.org/","Free Software Projects","libreoffice.svg"
"Linux Kernel","https://www.kernel.org/","https://bugzilla.kernel.org/","Free Software Projects","linux.svg"
"LiveCode","https://livecode.org/","https://quality.livecode.com/","Free Software Projects",""
"LON-CAPA","https://www.lon-capa.org/","https://bugs.lon-capa.org/","",""
"Maemo","http://maemo.org/","https://bugs.maemo.org/","Linux Distributions",""
"Mageia","https://www.mageia.org/en/","https://bugs.mageia.org/","Linux Distributions",""
"March Hare Software","https://march-hare.com/","https://customer.march-hare.com/webtools/bugzilla/","",""
"Mozilla","https://www.mozilla.org/en-US/","https://bugzilla.mozilla.org","Free Software Projects","mozilla.svg"
"NetFilter","https://www.netfilter.org/","https://bugzilla.netfilter.org/","Free Software Projects",""
"nosuchhost.net","https://www.nosuchhost.net/","https://www.nosuchhost.net/bugzilla/","",""
"OKIT GmbH","https://www.okit.de/","https://bugzilla.okit.de/","",""
"Open Office","https://www.openoffice.org/","https://bz.apache.org/ooo/","Free Software Projects","openoffice.svg"
"Open Source MANO","https://osm.etsi.org/","https://osm.etsi.org/bugzilla/","Free Software Projects",""
"OpenSSH","https://www.openssh.com/","https://bugzilla.mindrot.org/","Free Software Projects",""
"Oracle","https://www.oracle.com/","https://bugzilla.oracle.com/bugzilla/","",""
"OSGi Alliance","https://www.osgi.org/","https://bugs.eclipse.org/bugs/","",""
"PrivaSphere","https://www.privasphere.com/h/index.php?id=1&L=0","https://bugs.privasphere.com/","",""
"Project Partners, LLC.","https://www.projectp.com/","https://support.projectp.com/","",""
"Proxmox","https://proxmox.com/en/","https://bugzilla.proxmox.com/","Linux Distributions",""
"Red Hat","https://www.redhat.com/en","https://bugzilla.redhat.com/","Linux Distributions","redhat.svg"
"R","https://www.r-project.org/","https://bugs.r-project.org/","Free Software Projects",""
"RPM Fusion","https://rpmfusion.org/","https://bugzilla.rpmfusion.org/","Free Software Projects",""
"Samba","https://www.samba.org/","https://bugzilla.samba.org/","Free Software Projects",""
"Scilab","https://www.scilab.org/","https://bugzilla.scilab.org/","",""
"sourceware.org","https://sourceware.org/","https://sourceware.org/bugzilla/","Free Software Projects",""
"Spam Assassin","https://spamassassin.apache.org/","https://bz.apache.org/SpamAssassin/","Free Software Projects",""
"Squid","http://www.squid-cache.org/","https://bugs.squid-cache.org/","",""
"SuDo","https://www.sudo.ws/","https://bugzilla.sudo.ws/index.cgi","Free Software Projects",""
"SUSE/openSUSE","https://www.suse.com/","https://bugzilla.suse.com/","Linux Distributions","suse.svg"
"WebKit","https://webkit.org/","https://bugs.webkit.org/","Free Software Projects",""
"Wine","https://www.winehq.org/","https://bugs.winehq.org/","Free Software Projects",""
"Yocto Project","https://www.yoctoproject.org/","https://bugzilla.yoctoproject.org/","Free Software Projects",""
"Zimbra","https://www.zimbra.com/","https://bugzilla.zimbra.com/","Free Software Projects",""

